Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,fraud_probability,is_predicted_fraud
2946,2020-06-22 07:19:23,4060579726528237,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,1674.52,Steven,Sanders,M,25955 Amy Via,Ozawkie,KS,66070,39.2136,-95.4404,2661,Theatre director,1948-11-14,594a38f9e4cfbf509f4230fb5e642993,1371885563,39.29869,-95.746321,0,0.6373949,1
3332,2020-06-22 10:00:09,4961003488432306,fraud_Dach-Nader,misc_net,1235.6,Stacy,Walsh,F,324 Donna Ridge Suite 651,Cressona,PA,17929,40.6284,-76.195,1606,Ecologist,1966-05-10,b144f95bcf60a045b014bfbfe50b3a3a,1371895209,41.477199,-76.903421,0,0.81961375,1
3339,2020-06-22 10:01:50,30143713661454,fraud_Jaskolski-Vandervort,misc_net,1085.92,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1942-01-06,1f5fe3d7efb0504652ccab036b8a58d5,1371895310,48.35465,-96.755082,0,0.91881096,1
3469,2020-06-22 10:58:54,4599735407877245080,"fraud_Rippin, Kub and Mann",misc_net,796.31,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1964-12-30,90c558cd8549097f867dcf7b25c1d00d,1371898734,35.918496999999995,-89.76369100000001,0,0.71450835,1
4007,2020-06-22 14:01:44,30131826429364,fraud_Mohr Inc,shopping_pos,1170.57,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",1994-04-22,aefca624f7c0423c2e19780c1b1840e8,1371909704,35.621603,-84.62679399999999,0,0.68496484,1
4019,2020-06-22 14:04:16,2450829271795901,fraud_Dickinson-Rempel,misc_pos,1134.7,Timothy,Kirby,M,7309 Sophia Causeway Suite 702,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,1d580ba6884aa1f68d0189fe5236ad8d,1371909856,45.801637,-94.417357,0,0.8323062,1
4105,2020-06-22 14:26:17,4997733566924489,fraud_Kihn Inc,shopping_pos,1270.1,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1971-08-06,3c00c66aacb733eb6a3225c252031619,1371911177,44.161582,-92.376607,0,0.8941492,1
4427,2020-06-22 15:54:49,2703186189652095,"fraud_Little, Gutmann and Lynch",shopping_net,1447.9,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",1988-03-09,01894a15ac990076875a3f72fd86f65d,1371916489,36.127534,-81.424937,0,0.7973563,1
4722,2020-06-22 17:19:15,573860193545,fraud_Kuhn LLC,shopping_pos,1444.02,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,1986-07-23,e5b9490d1d82f793f65c1f38bcdbc0c8,1371921555,42.469032,-88.08081700000001,0,0.9022784,1
5178,2020-06-22 19:27:31,30266994494236,"fraud_Wiza, Schaden and Stark",misc_pos,1422.13,Sarah,Foster,F,77872 Andrea Glen Apt. 543,Ford,VA,23850,37.1349,-77.7364,1051,Chief Operating Officer,1976-11-21,4273a3467d38cfa56c3678137b212f74,1371929251,37.647358,-77.262281,0,0.9656949,1
5622,2020-06-22 21:38:13,4792627764422477317,fraud_Terry-Huel,shopping_net,517.36,Margaret,Mendez,F,7952 Karen Pike,De Soto,KS,66018,38.9462,-94.9714,5760,Chief Executive Officer,1978-10-01,e6fe5b107a9bc5b9099885929fe3eae2,1371937093,38.127011,-95.360384,0,0.5102997,1
5718,2020-06-22 22:09:33,180018375329178,fraud_Dooley Inc,shopping_pos,1060.92,Michelle,Woods,F,952 Joseph Throughway,Munith,MI,49259,42.3703,-84.2485,2523,Geophysicist/field seismologist,1988-03-21,aab7812ba81e0bcabb38d313174ae320,1371938973,42.341918,-83.369734,0,0.8742567,1
6143,2020-06-23 00:18:42,3596357274378601,fraud_Zemlak Group,misc_net,461.23,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,1973-05-27,0e85f47de4fc7970ba5e43fe196672c3,1371946722,40.321585,-79.12216,0,0.8502562,1
6214,2020-06-23 00:51:28,4089096483689733451,fraud_Eichmann-Russel,misc_pos,395.08,Debra,Stark,F,686 Linda Rest,Kilgore,TX,75662,32.3836,-94.8653,24536,Multimedia programmer,1983-10-14,40054951eff89dd38655e259f68b02ab,1371948688,31.466627000000003,-94.892861,0,0.83486915,1
6252,2020-06-23 01:12:26,30150717898388,fraud_Huel-Langworth,misc_net,577.69,Raymond,Lloyd,M,5930 Rebecca Bridge Apt. 444,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,1966-06-19,4caf5fba928cb4fc5c4c0087fc69e9b5,1371949946,33.913841999999995,-86.996566,0,0.79045725,1
6407,2020-06-23 02:32:47,36721445180895,fraud_Halvorson Group,misc_pos,621.95,Cesar,Smith,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01,466b9a4af7451074ecccb8a3e90fc91a,1371954767,43.447288,-74.594077,0,0.6379864,1
6546,2020-06-23 03:35:18,3546674063249004,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,885.07,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,1984-07-05,b9940090ed41234677870c6c7076b95f,1371958518,31.717089,-97.641174,0,0.7327137,1
6578,2020-06-23 03:56:53,3567527758368741,fraud_Jast Ltd,shopping_net,1532.76,Amanda,Vance,F,14601 Downs Skyway Apt. 440,Sterling City,TX,76951,31.8351,-101.0017,1143,"Scientist, biomedical",1962-03-19,51e7ed1a888d550ed36a2e68c6ada2cd,1371959813,31.943343,-101.755228,0,0.545553,1
6649,2020-06-23 04:25:50,30551643947183,fraud_Kerluke PLC,misc_net,499.9,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,685666b6a647feb817653e467476aa50,1371961550,35.030706,-80.657249,0,0.73494864,1
6730,2020-06-23 05:06:34,372246459334925,"fraud_Boehm, Predovic and Reinger",misc_pos,1743.19,Rick,Martinez,M,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,1970-03-13,b815e583c6c907bde0d55aebf7d04080,1371963994,44.543213,-103.603582,0,0.699274,1
6761,2020-06-23 05:21:39,3560725013359375,fraud_Kunde-Sanford,misc_net,975.81,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,7fe510bfd906aab9fd4b8aa05233a1df,1371964899,31.779431,-103.246848,0,0.6916281,1
6825,2020-06-23 05:52:26,4239552724014407,"fraud_Ruecker, Beer and Collier",shopping_net,2077.77,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,8028ad999bf05960f38617ac32690ed3,1371966746,41.969647,-84.375479,0,0.7460753,1
7057,2020-06-23 07:26:41,4836998673805450,"fraud_Kerluke, Considine and Macejkovic",misc_net,430.59,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,d367edaf2be756c3b79137a3988b2453,1371972401,45.20921,-86.273946,0,0.5335091,1
7420,2020-06-23 10:21:28,4092452671396169678,"fraud_Parisian, Schiller and Altenwerth",misc_net,827.94,Jeffrey,Vargas,M,478 Alexandria Mount,Bolton,NC,28423,34.3091,-78.3372,2290,"Engineer, biomedical",1945-12-07,e3010e097b5f9e3511e7268b758ea91b,1371982888,34.749054,-79.26815500000001,0,0.85918456,1
7926,2020-06-23 13:45:59,344709867813900,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,1225.08,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,1986-01-30,e7354cb05cc06d37a45a5e717e926ab4,1371995159,28.267665,-80.573367,0,0.5932789,1
8851,2020-06-23 18:10:43,4312133045694601139,"fraud_Streich, Dietrich and Barton",shopping_net,3344.72,Julian,Price,M,086 Pierce Cove,Pikesville,MD,21208,39.3764,-76.729,33917,Company secretary,1977-06-12,aba77952d151fa218172c73930252ac4,1372011043,38.784248,-76.905812,0,0.93033385,1
8947,2020-06-23 18:36:58,4587577161160601,fraud_Metz-Boehm,shopping_pos,1026.82,Tina,Lawrence,F,12444 Jacob Pines,Nobleboro,ME,4555,44.0943,-69.4828,1643,Financial trader,1976-04-12,8162f6539b2ba27bc84f273537141d1e,1372012618,43.674755,-69.26979,0,0.8174742,1
9129,2020-06-23 19:34:23,4897067971111209737,fraud_Ankunding LLC,shopping_net,1394.89,Randy,Wood,M,542 Howe Mission Apt. 092,Port Richey,FL,34668,28.3011,-82.6927,42619,Environmental education officer,1975-10-07,68abdfc11df1af86a2ec1800a529a503,1372016063,28.155051,-81.752039,0,0.9421281,1
9138,2020-06-23 19:37:26,4810789809665942990,fraud_McCullough LLC,misc_pos,664.82,Julie,Sanchez,F,916 Charles Road,Bowersville,OH,45307,39.5756,-83.7153,338,Quantity surveyor,1988-07-28,e656f7f328d4ce3730cbdbe165fe3585,1372016246,39.11251,-83.405956,0,0.73364884,1
9433,2020-06-23 21:02:27,4560004149983868183,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1064.34,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09,0a23d0f6427b610ce29b61e6190d5c69,1372021347,38.995282,-105.128926,0,0.93815506,1
9544,2020-06-23 21:36:13,3583293909206278,fraud_Lesch Ltd,shopping_pos,1472.32,Deborah,Fisher,F,1911 Fisher Brook,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",1978-09-30,c9a691bb598a9dd699e61cae3d1e7113,1372023373,34.474209,-106.874685,0,0.9593115,1
9557,2020-06-23 21:39:50,4044436772018844508,"fraud_Kuhic, Bins and Pfeffer",shopping_net,547.72,Amy,Abbott,F,01505 Amy Stravenue,Dayton,OH,45415,39.8355,-84.2613,479994,Environmental manager,1970-11-09,e05f89cd6e457aa5deb5bdddef7848c8,1372023590,40.112904,-83.40377099999999,0,0.70847565,1
9688,2020-06-23 22:23:04,6538891242532018,fraud_Kris-Padberg,shopping_pos,670.22,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,3b9f6d71c598608bd4a109fe289d1c0c,1372026184,35.355757000000004,-90.635023,0,0.64881957,1
9890,2020-06-23 23:21:40,371226440126102,fraud_Stamm-Witting,shopping_net,2721.97,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,6da8e87b6db4d3b29bfb0230de42a0a4,1372029700,39.585384000000005,-88.57423100000001,0,0.96322966,1
10151,2020-06-24 02:38:53,30175986190993,fraud_Kuphal-Predovic,misc_net,718.5,Rebecca,Butler,F,0665 Lisa Alley,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,1966-06-07,21fca489f903a94d3052404813efc415,1372041533,48.207516,-96.761507,0,0.7714871,1
10208,2020-06-24 03:34:35,376656886990758,"fraud_Greenfelder, Bartoletti and Davis",misc_net,1261.89,Richard,Vance,M,169 Shelia Knoll Suite 753,Zavalla,TX,75980,31.1569,-94.3871,2836,"Designer, jewellery",1985-12-03,253451ca1ef5bb7acb132e9b426ab974,1372044875,30.460347,-94.35522,0,0.6820326,1
10579,2020-06-24 09:35:02,3598895972308782,fraud_Kunde-Sanford,misc_net,599.51,Kenneth,Richards,M,994 Livingston Extensions Suite 918,Norwalk,OH,44857,41.2403,-82.6078,23805,Copy,1970-02-22,78bb7325e8483a2beb6362f495b17584,1372066502,40.314273,-82.501538,0,0.5925057,1
10801,2020-06-24 12:44:21,4681601008538160,fraud_Kovacek Ltd,travel,1735.2,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,675bef85e78ca037c19d81acb4b1fdfd,1372077861,40.380848,-80.613727,0,0.7662701,1
11499,2020-06-24 20:23:32,30364087349027,"fraud_Zboncak, Rowe and Murazik",shopping_net,3396.84,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,8d4aa6dea14dd5a722155e0f0e7e7070,1372105412,36.86798,-95.716439,0,0.93348616,1
11517,2020-06-24 20:30:13,213153151785052,"fraud_Moore, Dibbert and Koepp",misc_net,550.72,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,1997-11-23,46894a0d08da4129eec2db393f89c247,1372105813,45.653483,-90.527482,0,0.6979977,1
11535,2020-06-24 20:44:01,375974680629816,fraud_Williamson LLC,misc_pos,754.62,Roberta,Mccarthy,F,94431 Matthew Mall Suite 296,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,1973-04-06,382d8c1191816a524f8be10f7b9ef746,1372106641,41.864429,-73.381858,0,0.8696557,1
11666,2020-06-24 22:03:55,180098888332620,fraud_Durgan-Auer,misc_net,790.54,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,80275a9dbfd3b1a7a5a11bcaa000afab,1372111435,43.22957,-78.451208,1,0.9926041,1
11669,2020-06-24 22:07:11,180098888332620,fraud_Bednar Group,misc_net,723.23,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,16aee906e2a1167ab8c20770a5b7cf79,1372111631,41.673916,-78.922416,1,0.99306244,1
11710,2020-06-24 22:30:10,180098888332620,fraud_Sawayn PLC,shopping_pos,996.31,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,5b52378eee32883f0dd60e506ac911fd,1372113010,43.110777,-78.685005,1,0.98434955,1
11770,2020-06-24 23:06:34,180098888332620,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,6e37d3d1cc9d701679fd3910c20808d6,1372115194,41.940223,-78.541627,1,0.988477,1
11780,2020-06-24 23:15:28,180098888332620,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,741.77,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,b971b65d32c1d9b36223370bb5744a94,1372115728,43.225233,-77.81421800000001,1,0.95792747,1
11789,2020-06-24 23:20:06,3593118134380341,fraud_Terry-Huel,shopping_net,900.77,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,53252776f86750964b0ab9b922708d15,1372116006,44.971125,-68.90919699999999,1,0.92295176,1
11799,2020-06-24 23:24:22,180098888332620,fraud_Pfeffer and Sons,shopping_pos,1047.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,8c171170a9bf40cd94df9c66c3ede970,1372116262,43.217469,-78.33609399999999,1,0.990105,1
11831,2020-06-24 23:46:55,3593118134380341,fraud_Ruecker Group,misc_net,737.99,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,684959c9c371a7c2407502b86861bd76,1372117615,44.894012,-68.76144599999999,1,0.9892266,1
12051,2020-06-25 03:08:47,6538891242532018,fraud_Durgan-Auer,misc_net,465.1,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,ab7e103d3714c8fb23f6dca45342928a,1372129727,36.485322,-91.338238,0,0.7206588,1
12283,2020-06-25 06:13:37,4836998673805450,"fraud_Rippin, Kub and Mann",misc_net,620.6,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,462952a3aa0c58105e4074621ce5c205,1372140817,46.269578,-86.041026,0,0.6653292,1
12336,2020-06-25 06:51:20,630424987505,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,760.98,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1981-08-29,a070c74268a2517c48fbc5085158f3bf,1372143080,39.179303,-80.338773,0,0.6947905,1
12393,2020-06-25 07:32:45,4173950183554608,fraud_Mante Group,misc_net,982.47,Stephen,Marshall,M,47144 Roberts Keys,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,1978-10-05,f6f48012ee57692fd84c7efcb8cbe2c8,1372145565,40.661566,-73.00201,0,0.7248975,1
13052,2020-06-25 15:28:02,3575540972310993,fraud_Romaguera and Sons,travel,1804.21,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,2001-06-22,2bbce78a4521b829dce8b018d1d702d6,1372174082,33.907435,-90.321487,0,0.7647334,1
13345,2020-06-25 18:16:26,3593118134380341,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1046.97,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,1e28f4d8c246e631eaa939dbb9dfa19a,1372184186,45.05939,-68.335587,1,0.95304275,1
13466,2020-06-25 19:43:13,4378993458389626,fraud_Fritsch LLC,travel,6600.44,Travis,Hayes,M,1561 Chase Grove,Conway,NH,3818,43.9742,-71.1503,3807,Surgeon,1999-10-25,6ad730c17f10beeb66462e8e0bdb8651,1372189393,43.741878,-71.699656,0,0.90435815,1
13741,2020-06-25 22:24:27,3593118134380341,fraud_Miller-Harris,misc_net,850.82,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,26b513dd77a2680fab058dd8b113c108,1372199067,44.386233,-68.757723,1,0.99140733,1
13806,2020-06-25 23:01:19,3593118134380341,fraud_Goyette Inc,shopping_net,976.48,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,49a574fd22e8a19f229830c40eda50b2,1372201279,44.955637,-67.503251,1,0.9757465,1
13821,2020-06-25 23:08:03,3540075240003197,"fraud_Turcotte, McKenzie and Koss",entertainment,440.71,Christian,Johns,M,892 Solis Neck,Lonsdale,MN,55046,44.4477,-93.4252,5211,Chief Strategy Officer,1987-01-27,fde476e437970c7e1643fdd257bf6103,1372201683,44.184327,-93.683582,0,0.61221623,1
13902,2020-06-25 23:51:22,375082648741747,fraud_Bashirian Group,shopping_net,4622.47,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,2b3b95424b8ed908a04d3e680a0e3d6a,1372204282,46.790234000000005,-97.028372,0,0.9424535,1
14181,2020-06-26 03:10:32,3577794103155425,"fraud_Rohan, White and Aufderhar",misc_net,474.45,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,1994-11-12,ca9f4279ba8235c95437558ea67ce2c7,1372216232,46.822608,-96.63165,0,0.5127156,1
14205,2020-06-26 03:30:56,4128730454058057622,fraud_Buckridge PLC,misc_pos,1202.58,Monique,Martin,F,68276 Matthew Springs,Ratcliff,TX,75858,31.3833,-95.0619,43,"Engineer, production",1949-10-04,8275d144618e1c2da95b158997c4ed16,1372217456,31.567979,-94.510982,0,0.5829412,1
14781,2020-06-26 10:53:42,6535328428560433,fraud_Thiel PLC,misc_pos,1010.23,Michelle,Beck,F,2887 Olson Road Suite 439,Minneapolis,MN,55428,45.0632,-93.3811,1022298,Analytical chemist,1967-10-28,34e23918991ea24c41cfedbd0421b1f9,1372244022,45.432638,-93.716975,0,0.8152487,1
15133,2020-06-26 14:16:50,3565196229855512,fraud_Mosciski Group,travel,1363.85,Adriana,Harvey,F,715 Joy Prairie,Unionville,MO,63565,40.4815,-92.9951,3805,"Investment banker, corporate",1950-09-15,c769451fb9dfff78f10cb860950c0eaa,1372256210,41.151899,-92.565585,0,0.7388123,1
15202,2020-06-26 14:48:23,374930071163758,"fraud_Reichert, Shanahan and Hayes",shopping_net,1483.41,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1971-11-05,bc570bbcd4ba8a73ce89cdd29d8c142e,1372258103,41.561379,-84.033342,0,0.90250075,1
